Heartbeat @ Bedok ActiveSG Sport Centre,11_ BEDOK NORTH STREET 1_     Singapore 469662, 6443 5511 ,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Sports%20Centre%20Heartbeat%20Bedok/heartbeatbedok01.jpg,Daily 7.00am – 10.00pm
Clementi Sports Hall,518 Clementi Avenue 3    Singapore 129907, 67762560,Clementi sport hall is a sport hall operated by Sport Singapore.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Clementi%20Sports%20Hall/Clementi%20Sports%20Hall1.jpg,Daily 7.00am – 10.00pm
Clementi Swimming Complex,520 Clementi Avenue 3    Singapore 129908, 67790577,Clementi Swimming Complex is a public swimming complex managed by Sport Singapore. With a busy interchange and train station nearby_ Clementi Sport Centre_ formerly known as Clementi Sport and Recreation Centre_ serves a mature estate with people of different ages_ from kids_ young adults_ to the active seniors.   Clementi is the preferred venue for Ministry of Education's basketball championships and is training ground for our Singapore fencing team.  Though it is one of the oldest facility_ Clementi has been able to re-invent itself through bringing amateur boxing to the masses to revive the interest of the working adults.  Facility Information:  a. 1 Competition Pool  b. 1 Teaching Pool  c. 1 Wading Pool d. Outdoor Cardio Gym Equipment     NOTICE: The facility is closed for maintenance from 2 Apr 2019 - 30 Sep 2019.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Clementi%20Swimming%20Complex/Clementi%20Swimming%20Complex2.jpg,unknown
Delta ActiveSG Gym,900 Tiong Bahru Road    Singapore 158790, 64719037,Delta ActiveSG Gym_ formerly known as Delta ClubFITT Gym_ is a public gym operated by Sport Singapore. Delta Sport Centre_ formerly known as Delta Sport and Recreation Centre_ operates in a mature residential estate. Its central location and proximity to central business district makes it a draw with white collar workers. Besides serving the community sporting needs_ it has contributed to the local development of hockey through its accessible and quality hockey pitch.  Delta Sport Centre continues to meet the current needs of the community_ and is striving to extend its reach to the wider population through introducing new sports programmes and rejuvenation of its facilities.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Delta%20ActiveSG%20Gym/Delta%20ActiveSG%20Gym4.jpg,Daily: 7.00am - 10.00pm (Including Public Holidays)
Delta Sports Centre,900 Tiong Bahru Road    Singapore 158790, 64719030,Delta Sport Centre_ formerly known as Delta Sport and Recreation Centre_ operates in a mature residential estate. Its central location and proximity to central business district makes it a draw with white collar workers. Besides serving the community sporting needs_ it has contributed to the local development of hockey through its accessible and quality hockey pitch. Delta Sport Centre continues to meet the current needs of the community_ and is striving to extend its reach to the wider population through introducing new sports programmes and rejuvenation of its facilities.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Delta%20Sports%20Centre/Delta%20Sports%20Centre.jpg,unknown
Delta Swimming Complex,900 Tiong Bahru Road    Singapore 158790, 64747573,Delta swimming complex is a public swimming complex operated by Sport Singapore. Opened to the public on 7 Nov 79 Delta Sport Centre_ formerly known as Delta Sport and Recreation Centre_ operates in a mature residential estate. Its central location and proximity to central business district makes it a draw with white collar workers. Besides serving the community sporting needs_ it has contributed to the local development of hockey through its accessible and quality hockey pitch.  Delta Sport Centre continues to meet the current needs of the community_ and is striving to extend its reach to the wider population through introducing new sports programmes and rejuvenation of its facilities.  Facility Information: 1 Competition Pool 1 Teaching pool 1 Wading pool  Parking Facilities: 128 (Car) 36 (Motorcycle),https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Delta%20Swimming%20Complex/Delta%20Swimming%20Complex5.jpg,unknown
Farrer Park Field,3 Rutland Road    Singapore 218254, 62994166,Farrer park field is a public sport field managed by Sport Singapore. Facility Information: 1 rugby field 1 soccer field,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Farrer%20Park%20Field/Farrer%20Park3.jpg,unknown
Farrer Park Tennis Centre,1 Rutland Road    Singapore 218252, 62994166,Farrer Park Tennis Centre is a tennis centre managed by Sport Singapore. Facility Information: 8 Tennis courts 2 Tennis walls,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Farrer%20Park%20Tennis%20Centre/Farrer%20Park5.jpg,unknown
Geylang East Swimming Complex,601 Aljunied Avenue 1    Singapore 389862, 67457175,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Geylang%20East%20Swimming%20Complex/geylang%20east%20swimming%20complex%20(1).jpg,unknown
Heartbeat @ Bedok ActiveSG Sport Centre,11_ BEDOK NORTH STREET 1_     Singapore 469662, 6443 5511 ,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Sports%20Centre%20Heartbeat%20Bedok/heartbeatbedok01.jpg,Daily 7.00am – 10.00pm
Home of Athletics,52 Stadium Road    Singapore 397724, ,Kallang Practice Track is a public track managed by Sport Singapore.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Kallang%20Home%20of%20Athletics/Kallang%20Practice%20Track%20Home%20of%20the%20Athletics3.jpg,unknown
Hougang ActiveSG Gym,93 Hougang Ave 4 #02-05     Singapore 538832, 63158674,Hougang ActiveSG Gym_ formerly known as Hougang ClubFITT Gym_ is a public gym operated by Sport Singapore. Hougang Sport Centre_ formerly known as Hougang Sport and Recreation Centre_ is located within a mature estate serving its community with its well managed and upgraded facilities. Hougang Sport Centre has enjoyed a high level of utilization in its facilities_ ClubFITT membership_ and sports programmes.  Looking forward_ Hougang Sport Centre will be positioning its offerings to appeal to its market segment_ for which a large portion will be transitioning into the third age.  Facility Information: 1 Gym room,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Hougang%20ActiveSG%20Gym/Hougang%20ActiveSG%20Gym1.jpg,Daily: 7.00am - 10.00pm (Including Public Holidays)
Hougang Sports Centre,93 Hougang Ave 4    Singapore 538832, 63158671,Hougang Sport Centre_ formerly known as Hougang Sport and Recreation Centre_ is located within a mature estate serving its community with its well managed and upgraded facilities. Hougang Sport Centre has enjoyed a high level of utilization in its facilities_ gym membership_ and sports programmes.  Looking forward_ Hougang Sport Centre will be positioning its offerings to appeal to its market segment_ for which a large portion will be transitioning into the third age.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Hougang%20Sports%20Centre/Hougang%20Sports%20Centre.jpg,unknown
Hougang Sports Hall,93 Hougang Avenue 4    Singapore 538832, 63860449,Hougang sport hall is a public sport hall operated by Sport Singapore. Hougang Sport Centre_ formerly known as Hougang Sport and Recreation Centre_ is located within a mature estate serving its community with its well managed and upgraded facilities. Hougang Sport Centre has enjoyed a high level of utilization in its facilities_ ClubFITT membership_ and sports programmes.  Looking forward_ Hougang Sport Centre will be positioning its offerings to appeal to its market segment_ for which a large portion will be transitioning into the third age.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Hougang%20Sports%20Hall/Hougang%20Sports%20Hall1.jpg,Daily 7.00am – 10.00pm
Hougang Stadium,100 Hougang Avenue 2    Singapore 538856, 63864856,Hougang Stadium is a public sport stadium operated by Sport Singapore. Facility Information: 1 Pitch 8 Lane Running Track 1 Fitness Corner,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Hougang%20Stadium/Hougang%20Stadium4.jpg,Daily 4.30am – 8.30pm
Hougang Swimming Complex,95 Hougang Avenue 4    Singapore 538830, 63865010,Hougang Swimming Complex is a public swimming complex managed by Sport Singapore. Facility Information: 1 Competition Pool 1 Teaching Pool 1 Wading Pool,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Hougang%20Swimming%20Complex/Hougang%20Swimming%20Complex5.jpg,unknown
Jalan Besar Sports Centre,100 Tyrwhitt Road    Singapore 207542, 62939058,Jalan Besar Sport Centre_ formerly known as Jalan Besar Sport and Recreation Centre_ operates the Jalan Besar Swimming Complex_ Stadium and Farrer Park Tennis Centre and Field. It also jointly manages the Co-Curriculum Activities Branch (CCAB) which includes its Swimming Complex_ Sports Hall_ Hockey Pitch_ and other outdoor facilities. Besides serving as home ground of our national team during the renovation of the National Stadium_ Jalan Besar hosted the Asian Youth Games (2009)_ and the Youth Olympics Games (2010)_ which brought many of the young audience their closest experience of the Kallang roar.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Jalan%20Besar%20Sports%20Centre/Jalan%20Besar%20Sports%20Centre.jpg,unknown
Jalan Besar Stadium,100 Tyrwhitt Road    Singapore 207542, 62939058,Jalan besar stadium is a public stadium managed by Sport Singapore. Facility Information: 1 Synthetic Football pitch_ stadium capacity approx 7100,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Jalan%20Besar%20Stadium/Jalan%20Besar%20Stadium1.jpg,unknown
Jalan Besar Swimming Complex,100 Tyrwhitt Road    Singapore 207542, 62939058,Jalan Besar Swimming Complex is a public swimming complex managed by Sport Singapore. Facility Information: 1 Wading Pool 1 Teaching Pool 1 Competition Pool,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Jalan%20Besar%20Swimming%20Complex/Jalan%20Besar%20Swimming%20Complex5.jpg,unknown
